OBJECTID,CREELSUB,STATAREA,SUBAREA,subareaid,Area sq km,Label,Shape__Area,Shape__Length,x,y
1289,29-DW,29,DW,29DW,384.371989664585,29,901711270.914063,175046.240699652,,
1319,29-14,29,14,29-14,9.77320859489534,29,22774121.203125,85663.1091018369,,
1322,23-B,23,B,23B,22.5416311975823,23,52409518.9140625,72294.5225026063,,
1323,23-D,23,D,23D,103.809728805492,23,240537453.992188,249753.051209306,,
1324,29-8,29,8,29-8,115.34467880952,29,268426125.5625,96333.7539670959,,
1330,23-C,23,C,23C,31.090740197824,23,72090085.7578125,106004.040024892,,
1332,18-E,18,E,18E,179.65578408751,18,414924808.210938,213831.518520686,,
1335,23-K,23,K,23K,44.4905796901365,23,102825804.828125,110358.87016066,,
1336,23-M,23,M,23M,28.4739900686846,23,65806373.9765625,38153.1540079554,,
1338,18-D,18,D,18D,172.52107245576,18,397146343.375,209184.29663335,,
1339,23-J,23,J,23J,79.2968452120884,23,182872909.546875,143652.898732159,,
1340,18-B,18,B,18B,170.775457486286,18,392661630.390625,302643.432164287,,
1342,22-A,22,A,22A,27.9643499927495,22,64268882.46875,99228.3457134754,,
1343,18-A,18,A,18A,62.114491911125,18,142774449.25,144746.284097548,,
1344,123-R,23,R,123R,51.5567552131064,23,118648371.835938,96708.847748162,,
1345,123-U,123,U,123U,1137.47278565219,123U,2596628132.02344,223835.361398156,,
1346,21-A,21,A,21A,61.4068027704349,21,141662955.53125,143873.594462542,,
1347,121-B,121,B,121B,907.979269741188,121B,2064297492.70313,240470.031279583,,
1348,19-A,19,A,19A,70.5118853180858,19,161223045.53125,120661.733101601,,
1349,19-B,19,B,19B,261.177092139277,19,595864952.992188,248882.607216527,,
1351,121-A,121,A,121A,243.127926903997,121A,554380394.664063,101423.283017386,,
1352,20-E,20,20E,20E,18.0508537634055,20(WCVI),41175360.6875,111266.429848226,,
1353,20-A,20,A,20A,235.752625624139,20(WCVI),537021880.757813,103026.193754009,,
1355,20-B,20,B,20B,168.489403569078,20(WCVI),382808150.625,84489.2418123682,,
1356,20-C,20,C,20C,328.374050656162,20(WCVI),743865621.0625,132025.828463237,,
1357,19-D,19,D,19D,226.735414805392,19,512990184.429688,202029.888238275,,
1358,19-C,19,C,19C,141.683632191048,19,321093471.960938,142018.759245828,,
1359,20-DO,20,D,20DO,317.889474983756,20(SG),718009487.3125,180125.362804544,,
1360,19-E,19,E,19E,122.722537688455,19,277106086.09375,81369.5392093742,,
1362,17-J,17,J,17J,176.512755433836,17,410287074.445313,268714.281285471,,
1363,29-F,29,F,29F,108.569071119349,29,252836916.59375,76853.9729121079,,
1364,17-K,17,K,17K,167.829814087848,17,388243249.875,273911.99080453,,
1365,29-G,29,G,29G,222.482581380049,29,515909472.3125,113450.496658227,,
1366,121-C,121,C,121C,53.6915591846491,121C,122966865.953125,101464.115163013,,
1414,29-DE,29,DE,29DE,810.805654263866,29,1895494681.67969,298737.445013133,,
1415,20-DI,20,D,20DI,16.642976266117,20(SG),37686156.2265625,81715.2016546255,,
1416,20-DB,20,D,20DB,3.29062491224288,20(SG),7439668.2265625,21723.539457972,,
